common.bns,files,pilot.files,v1,v2,error.rate,idx,match.idx,keep,ref.time,pilot.time
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,elevated transaminases,elevated transaminases,7.149836278586008e-14,35,22,TRUE,0,0
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,obesity,obesity,7.382983113757292e-14,9,5,TRUE,0,-504
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,rhinitis,rhinitis,8.448797217397441e-14,6,10,TRUE,-336,-336
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,hypotension,hypotension,8.93729534823251e-14,14,8,TRUE,0,0
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,normal coronary circulation,normal coronary circulation,9.714451465470121e-14,119,72,TRUE,168,192
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,admitted to ICU,admitted to ICU,9.792167077193881e-14,12,6,TRUE,0,0
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,norepinephrine increased to 0.9 mcg/kg/min,norepinephrine increased to 0.9 mcg/Kg/min,9.947598300641405e-14,69,47,TRUE,1,0
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,event,event,1.0125233984581429e-13,1,1,TRUE,time,time
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,neutrophilic leukocytosis,neutrophilic leukocytosis,1.0413891970983968e-13,28,15,TRUE,0,0
PMC10012167_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_gpt5_tts/PMC10012167_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-100/sepsis-100_dsr1_tts/PMC10012167_body.csv,fever,fever,1.0635936575909e-13,13,7,TRUE,0,0
