common.bns,files,pilot.files,v1,v2,error.rate,idx,match.idx,keep,ref.time,pilot.time
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,Partial thromboplastin time 34.5 sec,partial thromboplastin time 34.5 sec,8.804068585277491e-14,43,24,TRUE,72,0
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,Septic shock,septic shock,9.725553695716373e-14,23,12,TRUE,0,-72
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,Hemoglobin 87 g/L,hemoglobin 87 g/L,1.0791367799356523e-13,48,29,TRUE,72,0
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,event,event,1.1024514634527804e-13,1,1,TRUE,time,time
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,Total bilirubin 129.4 μmol/L,total bilirubin 129.4 μmol/L,1.2612133559741778e-13,46,27,TRUE,72,0
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,Albumin 27.9 g/L,albumin 27.9 g/L,1.3433698597964394e-13,44,25,TRUE,72,0
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,Abdominal infection,abdominal infection,1.3700152123874434e-13,19,8,TRUE,0,-72
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,Alanine aminotransferase 56 U/L,alanine aminotransferase 56 U/L,1.432187701766452e-13,45,26,TRUE,72,0
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,Decompensated cirrhosis,decompensated cirrhosis,1.4599432773820809e-13,18,7,TRUE,0,-72
PMC10037274_body,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_manual/PMC10037274_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/camera-ready/sepsis-40_ablations/sepsis-40_l3370b_intervaltype_tts/PMC10037274_body.csv,No ongoing abdominal pain,no ongoing abdominal pain,1.5454304502782182e-13,39,17,TRUE,72,0
